Date,Particulars,Voucher No.,GSTIN/UIN,Gross Total,Sales Taxable@5%,Output CGST@2.5%,Output SGST@2.5%,Sales Taxable @12%,Output CGST @6%,Output SGST @ 6%,Sales Interstate Taxable @12%,Output IGST @12%,ROUND OFF,Other Charges,Sales Interstate Taxable@5%,Output IGST @5%,Grand Total
2024-11-22,Honey Bunny New Born and Kids Wear,438/24-25,27AHEPP8675M1ZG,8517,,,,7605.00 Cr,456.00 Cr,456.00 Cr,,,,,,,
2024-11-22,Kalapi Nx,437/24-25,27AASFK2634G1Z4,3616,3443.75 Cr,86.00 Cr,86.00 Cr,,,,,,0.25 Cr,,,,
2024-11-22,Parichay Department Stores Pvt Ltd,436/24-25,27AADCP6306N1Z4,22617,3850.00 Cr,96.00 Cr,96.00 Cr,16585.00 Cr,995.00 Cr,995.00 Cr,,,,,,,
2024-11-22,Trios,435/24-25,27AACFT4028M1ZY,11024,,,,9842.00 Cr,591.00 Cr,591.00 Cr,,,,,,,
2024-11-22,Suvidha,434/24-25,27ABCFS5847C1Z5,2802,,,,2502.00 Cr,150.00 Cr,150.00 Cr,,,,,,,
2024-11-22,Carron Clothing Pvt Ltd,439/24-25,27AABCC2448L1ZK,11245,1000.00 Cr,25.00 Cr,25.00 Cr,9103.00 Cr,546.00 Cr,546.00 Cr,,,,,,,
2024-11-23,Kalapi Nx,440/24-25,27AASFK2634G1Z4,12162,5628.75 Cr,141.00 Cr,141.00 Cr,5581.25 Cr,335.00 Cr,335.00 Cr,,,,,,,
2024-11-26,Honesty Stores,444/24-25,27ABIPS0106J1ZP,4182,,,,3733.50 Cr,224.00 Cr,224.00 Cr,,,0.50 Cr,,,,
2024-11-26,Vividh Collection,443/24-25,27AASFV0685N1Z7,11848,,,,10578.25 Cr,635.00 Cr,635.00 Cr,,,0.25 Dr,,,,
2024-11-26,Blossom,442/24-25,27AQRPS2494R1ZI,12025,3182.50 Cr,80.00 Cr,80.00 Cr,7752.00 Cr,465.00 Cr,465.00 Cr,,,0.50 Cr,,,,
2024-11-26,Suvidha,441/24-25,27ABCFS5847C1Z5,24769,5649.75 Cr,141.00 Cr,141.00 Cr,16819.05 Cr,1009.00 Cr,1009.00 Cr,,,0.20 Cr,,,,
2024-11-27,Maitrik Fashion Pvt Ltd,446/24-25,27AANCM1610N1Z8,1880,,,,1634.00 Cr,98.00 Cr,98.00 Cr,,,,50.00 Cr,,,
2024-11-27,Kalpana Apparels-Mulund,445/24-25,27AEPPG0608H1ZM,5320,,,,4750.00 Cr,285.00 Cr,285.00 Cr,,,,,,,
2024-11-27,Carron Clothing Pvt Ltd,447/24-25,27AABCC2448L1ZK,16536,1520.00 Cr,38.00 Cr,38.00 Cr,13338.00 Cr,801.00 Cr,801.00 Cr,,,,,,,
2024-11-28,Raazz-New Delhi,448/24-25,07AIEPA0129L1ZN,32413,,,,,,,28940.00 Cr,3473.00 Cr,,,,,
2024-11-29,Suvidha,449/24-25,27ABCFS5847C1Z5,13471,2929.50 Cr,73.00 Cr,73.00 Cr,9281.40 Cr,557.00 Cr,557.00 Cr,,,0.10 Cr,,,,
2024-11-29,Carron Clothing Pvt Ltd,450/24-25,27AABCC2448L1ZK,5948,1000.00 Cr,25.00 Cr,25.00 Cr,4372.00 Cr,263.00 Cr,263.00 Cr,,,,,,,
2024-11-29,Airavath Creations,451/24-25,29AZDPB5508L1ZA,6474,,,,,,,5780.00 Cr,694.00 Cr,,,,,
2024-11-30,Kalpana Apparels-Mulund,456/24-25,27AEPPG0608H1ZM,8909,,,,7955.00 Cr,477.00 Cr,477.00 Cr,,,,,,,
2024-11-30,Puzzle,455/24-25,27AHIPD1472E1ZO,11295,,,,10085.00 Cr,605.00 Cr,605.00 Cr,,,,,,,
2024-11-30,Apple Kids,454/24-25,27AUIPS6693M1ZK,27825,,,,24842.50 Cr,1491.00 Cr,1491.00 Cr,,,0.50 Cr,,,,
2024-11-30,Kaccha Limboo,453/24-25,27RAXPS9827K1ZZ,24237,,,,21641.00 Cr,1298.00 Cr,1298.00 Cr,,,,,,,
2024-11-30,Suvidha,452/24-25,27ABCFS5847C1Z5,11609,,,,10365.00 Cr,622.00 Cr,622.00 Cr,,,,,,,
2024-12-02,Honesty Stores,459/24-25,27ABIPS0106J1ZP,21078,,,,18820.00 Cr,1129.00 Cr,1129.00 Cr,,,,,,,
2024-12-02,Carron Clothing Pvt Ltd,458/24-25,27AABCC2448L1ZK,10458,2720.00 Cr,68.00 Cr,68.00 Cr,6789.00 Cr,406.00 Cr,406.00 Cr,,,1.00 Cr,,,,
2024-12-02,Kalapi Nx,457/24-25,27AASFK2634G1Z4,30016,,,,26799.00 Cr,1608.00 Cr,1608.00 Cr,,,1.00 Cr,,,,
2024-12-03,Poonam,468/24-25,27AAPFC2036H2ZG,38842,,,,34680.00 Cr,2081.00 Cr,2081.00 Cr,,,,,,,
2024-12-03,Vithal Garments,466/24-25,29AAAFV8422D1Z7,28439,,,,,,,21665.00 Cr,2600.00 Cr,,,3975.00 Cr,199.00 Cr,
2024-12-03,Spice,467/24-25,27AHPPJ7298H1ZL,18032,,,,16100.00 Cr,966.00 Cr,966.00 Cr,,,,,,,
2024-12-03,Maitrik Fashion Pvt Ltd,465/24-25,27AANCM1610N1Z8,16242,,,,14502.00 Cr,870.00 Cr,870.00 Cr,,,,,,,
2024-12-03,Riyansh Fashion Pin-A-Kin,464/24-25,27AANCR2517B1ZK,16242,,,,14502.00 Cr,870.00 Cr,870.00 Cr,,,,,,,
2024-12-03,Royal Collection,461/24-25,29DBKPS7583A1Z4,37839,,,,,,,33785.00 Cr,4054.00 Cr,,,,,
2024-12-03,Harivar,462/24-25,24AADHT8500M1ZY,22742,,,,,,,20305.00 Cr,2437.00 Cr,,,,,
2024-12-03,Radhika,463/24-25,24ADNPK4395C1ZI,33723,,,,,,,30110.00 Cr,3613.00 Cr,,,,,
2024-12-03,Vividh Collection,460/24-25,27AASFV0685N1Z7,21120,,,,18858.00 Cr,1131.00 Cr,1131.00 Cr,,,,,,,
2024-12-04,Trios,473/24-25,27AACFT4028M1ZY,9017,,,,8051.00 Cr,483.00 Cr,483.00 Cr,,,,,,,
2024-12-04,Sweety Clothing LLP,470/24-25,27AFGFS7469J1Z8,7957,,,,7105.00 Cr,426.00 Cr,426.00 Cr,,,,,,,
2024-12-04,Trend Setter,471/24-25,27AAFPS2786N1ZW,12062,,,,10770.00 Cr,646.00 Cr,646.00 Cr,,,,,,,
2024-12-04,Sagar,472/24-25,27AABPT1293K1ZD,11848,,,,10578.00 Cr,635.00 Cr,635.00 Cr,,,,,,,
2024-12-04,Puzzle,469/24-25,27AHIPD1472E1ZO,8887,,,,7935.00 Cr,476.00 Cr,476.00 Cr,,,,,,,
2024-12-05,Kalapi Nx,474/24-25,27AASFK2634G1Z4,20663,,,,18449.00 Cr,1107.00 Cr,1107.00 Cr,,,,,,,
2024-12-05,Blossom,475/24-25,27AQRPS2494R1ZI,5346,,,,4773.00 Cr,286.00 Cr,286.00 Cr,,,1.00 Cr,,,,
2024-12-06,Laksh,480/24-25,27AQSPS1074N1ZZ,6932,,,,6190.00 Cr,371.00 Cr,371.00 Cr,,,,,,,
